Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,SM_C_0805,52.07,26.9748,90,top
C2,100n,SM_C_0805,53.6702,34.925,180,top
C3,100n,SM_C_0805,44.7752,34.798,180,top
C4,100n,SM_C_0805,42.545,20.1422,270,top
C5,100nf,SM_C_0805,76.835,15.875,0,top
C7,100nf,SM_C_0805,78.105,24.13,270,top
C8,100nf,SM_C_0805,43.18,2.8498,90,top
C9,22pf,SM_C_0805,58.42,34.5998,90,top
C10,22pf,SM_C_0805,58.42,29.845,270,top
D2,LED0,SM0805_LED,77.724,8.03402,180,top
R1,47k,SM0805,55.245,26.9748,180,top
R4,470,SM0805,67.945,12.4002,0,top
R5,10k,SM0805,42.545,15.494,90,top
R6,4k7,SM0805,73.025,30.8102,0,top
R7,4k7,SM0805,70.485,30.8102,0,top
SW1,SWA,SMD_SW_6x3_5,72.263,8.89,270,top
SW2,RST,SMD_SW_6x3_5,42.5196,9.398,270,top
U1,TSV911xxLx,SM_SOT-23-5,53.66,29.845,0,top
U2,MCP3426-xSN,SM_SOIC_8,44.71,29.845,90,top
U3,LM75B,SM_SOIC_8,48.895,20.955,90,top
U4,ATmega328P-AU,TQFP32-08,70.485,22.225,0,top
Y1,8MHz_XTAL,SM-crystal-HC49UP,62.23,29.464,270,top
